Image,Status,Damage Level
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_10_10_11zon.jpg,1,3
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_11_11_11zon.jpg,1,4
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_12_12_11zon.jpg,1,5
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_13_13_11zon.jpg,1,3
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_14_14_11zon.jpg,1,5
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_15_15_11zon.jfif,1,4
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_16.png,1,3
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_17.png,1,2
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_1_1_11zon.jpg,1,1
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_2_2_11zon.jpg,1,5
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_3_3_11zon.jpg,1,2
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_4_4_11zon.jpg,1,3
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_5_5_11zon.jpg,1,4
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_6_6_11zon.jpg,1,1
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_turbine_7_7_11zon.jpg,1,3
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_Turbine_8_8_11zon.jpg,1,2
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Steam_Turbine_9_9_11zon.jpg,1,4
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Damaged_Turbine_Blade_2.jfif,1,5
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_10_17_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_12_19_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_14.jpeg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_15.jpeg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_16.jpeg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_17.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_18.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_19.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_1_8_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_20.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_21.jfif,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_2_9_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_3_10_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_4_11_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_5_12_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_6_13_11zon.jpg,0,0
E://College Lab Work//MINOR PROJECT//Level - 1//Image Data//Turbine Pics//Undamaged_Turbine_7_14_11zon.jpg,0,0
